,chatID,personType,personID,createdAt,plainText,language
7,V6744149ed76k,user,Bcc18665a2c4u,2021-01-04 14:22:57,감사합니다!,kor
12,Ace13424d164l,user,Hb6754774b33z,2021-01-05 10:26:53,"안녕하세요,혹시 교수님이 특정학생이 컨텐츠에 접근했는지 여부를 확인할 수 있는 방법이있나요?",kor
31,Va414599d6d3s,user,Oef135504b93g,2021-01-04 15:26:58,성적 확인은 어떻게할 수 있는지 궁금합니다!,kor
36,K8195093eea8p,user,Y6a132094c6dr,2021-01-01 13:42:26,"인권과 성평등 교육에서 리뷰완료를 먼저 누른 후 동영상을 100%시청 했는데, 리뷰완료 클릭 후에 시청한 것도 트래킹에 반영되나요? 아니면 리뷰완료 클릭한 시점까지만 트래킹이 되나요?",kor
48,N0e23920ef14e,user,W9347981eef8e,2021-01-01 21:23:41,국제동계대학을 위한 로그인이 되지 않습니다,kor
54,Wc430230efb8g,user,U3224026efafo,2021-01-02 09:05:42,"블랙보드 오류로 인해 기말과제대체물이 저장하기 전의 상태로 제출이 되었습니다. 
혹시나 해서 당시 제출하고 난 후 정상적으로 제출되었는지 내용까지 정확하게 다 확인한 상태였습니다. 
허나 기말과제대체물이 저장하기 전의 문서로 뒤바꿔있었습니다. 제재출을 전혀하지도 않았는데요. 이에 관련해서 증거자료를 가지고 기말고사 대체과제물을 재제출과 정당한 점수로 재체점을 교수님께 요구했습니다.
이 건에 관해서 교수님은 권한을 가지고 있으시지 않는다고 하여서 어디에 연락을 넣어야 되는지, 기말과제 대체물에 대해 오류가 생겼는데 블랙보드에 문의를 넣어야 되는지 어떻게 해야될지 하나도 모르겠습니다.. 도와주세요",kor
121,W6244804f135t,user,G96742165097x,2021-01-03 12:09:03,법정의무 및 교내권장 교육 클래스가 2개가 중복해서 열린 것 같아요,kor
162,Jfb76867f25ed,user,U3f590604d93y,2021-01-04 09:15:25,"안녕하세요, 락다운브라우저 테스트코스를 등록해서 연습해보고싶은데 테스트코스 등록 화면이 정상적으로 뜨지 않아 문의드립니다.",kor
197,Q4a55579f273p,user,Zce42781e180i,2021-01-04 10:45:18,락다운 연습시험시 문제의사진파일이 안떠요,kor
206,Ka371976f27dh,user,Ndd315804a3aj,2021-01-04 11:28:49,인권과 성평등 교육을 완료하고 이미 이수 완료 반영되었다고 뜨는데 포털 교육이수현황조회 창에서는 반영이 되지 않은 것 같아요 ㅠㅠ 이럴 때 어떻게 해야하나요...?,kor
240,L8b55696f283w,user,Le483099f019p,2021-01-04 11:54:14,블랙보드 이외로 안들어가져요,kor
244,Bba19366f291m,user,Kbf152294b28d,2021-01-04 12:53:18,블랙보드 내 시험문항에서 그림 파일이 보이지 않습니다.,kor
246,Mcc44334f293n,user,Zce42781e180i,2021-01-04 13:03:06,시험봐야하는데,kor
263,Vad27157f29fn,user,Me951013bd9ea,2021-01-04 13:53:12,안녕하세요,kor
269,Yb378838f2a7r,user,A3730060d9a5w,2021-01-04 14:28:22,안녕하세요. 시험을 모든 학생들에게 강제종료하는 방법이 있나요?,kor
272,W6f13006f2adm,user,Ia961697f2adl,2021-01-04 14:52:56,아니요 감사합니다,kor
274,U3284236f2b6r,user,X7e37991f2b6b,2021-01-04 15:31:21,성적 확인이 안되는데 어떻게 하는지 궁금합니다!,kor
297,B6e22277f3eai,user,M3d148915734n,2021-01-05 13:26:04,"안녕하세요. 저는 사학과 강사 이훈입니다. 지난 학기에 블랙보드에 링크된 zoom에 들어가지 못해서 온라인 수업을 못하고 녹화수업을 했었는데요, zoom에 들어가게 해주시면 대단히 감사하겠습니다.",kor
312,Q4331033f3f5f,user,Uf2307424c76q,2021-01-05 14:14:45,안녕하세요! 법정 의무 및 교내권장 교육 강의를 이제 들으려고하는데 제가 분반 등록을 실수로 4개나 해버렸는데 이 중 한 분반에서 교육을 마치는 것으로도 교육 이수가 되는지 아니면 분반 등록을 3분반을 다 취소하고 의무교육을 들어야하는지 궁금하여 여쭤봅니다.,kor
317,B7561937f3fag,user,D13992604b52p,2021-01-05 14:35:38,안녕하세요! 제 줌 계정으로 만드는 링크들이 korea-ac-kr 이렇게 시작하는 것으로 바뀌었는데 원래는 그냥 http://zoom/us 이렇게 생겼었거든요. 혹시 왜 이렇게 바뀐 건지 이유를 알 수 있을까요?,kor
